商品名称,商品价格,商品类别,商品类目
Basic House/百家好百搭简约连帽休闲保暖冬季羽绒服-B06245I6642,599.90,羽绒服,女装
DA BAO【彩虹方糖】冬季新款泡芙感百搭休闲气质短款羽绒服777,999.00,羽绒服,女装
鑫鑫同学运动裤女秋冬新款宽松休闲显瘦直筒阔腿裤小个子高腰卫裤,49.90,裤子,女装
IMFLY金小金自制羽绒服DYW8202连帽韩版羽绒外套短款加厚宽松,489.00,羽绒服,女装
皮毛一体羊羔毛外套女2024新款冬季麂皮绒夹克羊羔绒骑行机车服,109.00,短外套,女装
《气贯长虹》COCO姐和她男朋友一起穿的情侣冲锋棉服外套,999.00,棉衣,男装
【总店6】龙猫款拼南瓜袖气质轻奢连帽款女装外套,6999.00,中老年女装,女装
大嘴猴PaulFrank加绒保暖潮时尚百搭休闲果冻厚底雪地靴,899.00,靴子,女鞋
2024新款 一线成衣无缝高领秋冬加厚修身打底套头长袖毛衣女百搭 ,89.90,羊毛衫,女装
高级感白色加绒加厚窄版阔腿裤女爆款2024新款秋冬高腰宽松显瘦黑,105.60,裤子,女装
MDD·短款时尚女士羽绒服MX021,1980.00,羽绒服,女装
【皓达】女装羽绒服时尚休闲女士中长款加厚防风保暖冬季户外秋冬,299.00,羽绒服,女装
《冰天雪地》COCO姐跟他男朋友都在穿的毛领防寒棉服,899.00,棉衣/棉服,女装
【护膝贴片】海澜之家保暖内衣套装男款新款7A抗菌秋冬圆领秋衣秋裤,79.90,保暖内衣,内衣裤袜
冬季新款宽松连帽中长款收腰加厚撞色面包服保暖气质,599.00,中老年女装,女装
《雪海冰山》coco姐100个男朋友都想要的帅气欧貂夹克外套,999.00,夹克,男装
【朱朱】新款进口天鹅绒整貂长款挽袖大衣海宁水貂毛皮草气质设计师,4980.00,设计师/潮牌女装,女装
COCO姐100个男朋友都在穿的印花牛仔裤,999.00,裤子,女装
SDIBANNY/圣迪班尼初辛【假日舞会】抑菌聚拢无钢圈文胸23484,88.37,女士内衣,内衣裤袜
苏写【过冬神裤】加绒羊 绒蚕 丝双面磨绒保暖窄版直筒阔腿梧桐裤,69.90,裤子,女装
【15天发货】陈都灵同款|三防森马羽绒服女长款24冬季新款羽绒连帽,439.00,羽绒服,女装
MI YOU MI 2024新款冬季经典复刻龟背羽绒服 2409D1441,294.35,羽绒服,女装
妇炎洁新疆棉全裤7A加长底档无印染微生物灭菌护理内裤草本初色,59.90,内裤,内衣裤袜
秋冬新款高腰窄版百搭阔腿裤加绒加厚宽松显瘦直筒垂感休闲裤,98.94,裤子,女装
【本命年款】恒源祥本命年大红色结婚款纯棉保暖情侣秋衣秋裤套装,89.00,保暖内衣,内衣裤袜
【 一衣五穿鹅绒服】啄木鸟2024商务休闲防风保暖加绒加厚羽绒服,399.00,羽绒服,男装
coco姐送给野蛮男朋友们的水洗牛仔裤,999.00,裤子,女装
MDD·时尚宽松三角标连帽羽绒服 MX127,1980.00,羽绒服,女装
YAYA/鸭鸭时尚防风御寒轻暖感冬季保暖百搭连帽羽绒服YE4B705885L,299.00,羽绒服,女装
24年冬季新款高奢短款羽绒服女韩版加厚百搭9279,369.00,羽绒服,女装
 DLS/4114 【年货款.云朵裤.强推！！】冬季加绒加厚慵懒弯刀裤,81.74,裤子,女装
中老年人秋冬洋气长裤2024新款高腰松紧腰妈妈宽松休闲大码呢子裤,78.44,裤子,女装
Ufeel【软蕾丝】高腰无痕轻感收腹不卷边蚕丝底档内裤女2455,69.90,塑身衣,内衣裤袜
MDD·AELE 情侣款连帽简约版羽绒服 6807,1799.00,羽绒服,女装
【两件装】买一送一显瘦百搭微压打底裤加绒竖条纹女外穿秋冬保暖袜,69.80,袜子,内衣裤袜
全新未使用 AdMemory 轻奢时尚女士小众复古经典中号单肩包,3999.00,奢品箱包,箱包
QIAOLA/乔拉【罗马雪夜】秋冬季白鸭绒翻领百搭休闲羽绒短外套预售,399.00,短外套,女装
秋冬针织毛衣百搭推荐1-50号12.17号,399.90,毛针织衫,女装
【圆圆家】2024年秋冬新款加厚文艺百搭女装棉服外套,179.00,棉衣/棉服,女装
2024冬季新款时尚洋气休闲百搭气质短款保暖羽绒服,239.00,羽绒服,女装
2024年冬季新款立领设计感小众单排扣灰色毛衣针织开衫外套女上衣,39.00,毛针织衫,女装
轻氧玻色因臻颜抗皱紧致精华面霜面部玻色因护肤霜日夜紧致肌肤霜,699.00,面部护肤,美容护肤
【隐形毛孔 服帖底妆】YED妆前贴贴霜隔离妆前乳秋冬打底保湿控油1,99.99,面部彩妆,彩妆/香水/美妆工具
【新品上新】Colorkey珂拉琪「吸金福蛇」水雾唇露不沾杯唇釉口红显白,78.00,唇部彩妆,彩妆/香水/美妆工具
【明星颖儿推荐】罗娜女神黑魔法秘境固色口红精华护唇淡化唇纹,59.90,唇部彩妆,彩妆/香水/美妆工具
【送个好东西】诺梵金松露巧克力圣诞礼盒248~500g夹心零食姐妹送礼,89.00,巧克力,休闲零食
睫毛精华液【安卜】第六代升级款眉毛睫毛防汗不晕染素颜新手初学者,59.00,眼部护理,美容护肤
【K总同款】修可芙小方盒气垫粉底液BB霜遮瑕持久不脱妆干油皮限定,117.86,面部彩妆,彩妆/香水/美妆工具
【杉姐专属】MOYAL岚至透皮超导枪美容仪家用水光脸部紧致提拉,5599.00,面部美容仪器,美容/个护仪器
KAILAS凯乐石BM45LT硬壳滑雪冲锋衣抗湿冷严寒动态透气大山滑雪服,2456.98,户外服装,户外装备
【追觅】Pocket高速造型吹风机P10Pro高速折叠小型礼盒版SZ1,799.00,美发电器,身体清洁/护理
【夏梦同款】OKCS染发膏植物显白免漂染发剂亚麻灰棕树莓红黑茶色,39.00,染发烫发/头发造型,身体清洁/护理
Chigo/志高智能语音加湿取暖器负离子净化石墨烯恒温立式暖风机,99.00,取暖器,生活电器
【买一送一 王炸组合 共到手22g】PUCO大小怪粉饼定妆控油防水防汗,79.80,面部彩妆,彩妆/香水/美妆工具
官方正品手表魅雅镶钻小圆表轻奢时尚腕表女专柜新款6016,2999.00,腕表,钟表类
【禾久】河北张家口白糯玉米 均重260g*10根,39.99,蔬菜/蔬菜制品,生鲜
【高品质国货】徐海莉滋润护嫩滑护手霜60g 细腻保湿香氛透润丝滑,29.90,手部护理,身体清洁/护理
【主播补贴-yo】全国联通200元话费充值,190.80,中国联通充值卡,手机充值
作业帮学习机T30新品（8g+4）+256g 小初高中学生学习机家教机12H,3292.70,电子教育,电子教育
【50g大瓶装】徐楠楠蔻辰玻色因金绷带面霜,299.00,面部护肤,美容护肤
官方正品手表璀璨星空满钻小圆表轻奢时尚腕表女专柜新款防水6016,2999.00,腕表,钟表类
【1000】红包三组合【龙】,999.00,钱币,木作/书画/钱币/收藏
霜刃【加绒保暖】乔丹篮球鞋男2024秋冬水泥实战球鞋防滑耐磨运动鞋,167.00,篮球鞋,运动鞋
h扬子破壁豆浆机多功能果汁米糊一体机自动清洗免煮免滤大容量,129.00,破壁机,厨房小电
【赤焰跑鞋】安踏儿童运动缓震户外透气旋钮口耐磨跑鞋/312445511R,209.00,运动鞋,童鞋
【淘米匠】稻米原浆赋活养发乳 修护干枯毛躁受损发质D,59.90,洗发护发,身体清洁/护理
【新货保甜糯】XD泰国金枕去壳榴莲果肉（纯肉有核含包装400g/盒）,185.00,水果,生鲜
美的语音取暖器石墨烯速热智能恒温抗菌净化循环送暖冬日取暖神器,183.50,取暖器,生活电器
KWEICHOW MOUTAI/贵州茅台2024年53度飞天500ml+43度飞天500ml,3999.00,国产白酒,酒类
WiFi6无线路由器随身wifi充电宝二合一无线宽带车载wifi通用网络 ,59.90,随身WiFi,智能设备
财神新款彩雕桃木进户门五福临门挂件室内乔迁客厅喜庆挂饰,14.80,挂饰/生肖挂饰,装扮用品
【扬帆的专属】甜蜜海岸sweet coast新鲜原切营养鳕鱼块鲜嫩辅食400g/包*6包新鲜,88.00,海鲜水产及制品,生鲜
HoliLuna月圣奶润隔离,1280.00,面部彩妆,彩妆/香水/美妆工具
「断码集合」按提示下单 联邦一体注塑成型头层牛皮商务休闲鞋 2,399.00,跑步鞋,运动鞋
【5合1超薄躺平旋风版】添可Stretch Combo芙万洗地机+吸尘器0缠毛*,2990.00,洗地机,生活电器
【赵一博同款】芭贝拉定妆大粉饼14.5g定补妆持久不脱妆控油持妆,79.00,面部彩妆,彩妆/香水/美妆工具
阿迪达斯官方 好羽绒600蓬休闲保暖连帽鸭绒羽绒服男女冬季IZ4701,496.00,运动羽绒服,运动服
蕉下口罩高定版3d立体薄款舒适透气高颜值时尚纯色简约防护口罩,89.90,防护用品,生活日用
【专场】Befe牛油果修护发膜3罐 养发改善毛躁  补水养护 礼盒a,288.00,洗发护发,身体清洁/护理
Apple iPhone 16 Pro Max 256GB,9999.00,手机,手机通讯
Samsung Galaxy S24 Ultra 512GB,8999.00,手机,手机通讯
Huawei Mate 70 Pro+ 256GB,8999.00,手机,手机通讯
Xiaomi 14 Ultra 512GB,6499.00,手机,手机通讯
OPPO Find X7 Ultra 512GB,5999.00,手机,手机通讯
vivo X100 Pro+ 512GB,6499.00,手机,手机通讯
Apple iPad Pro 12.9英寸 256GB,7999.00,平板电脑,数码配件
Samsung Galaxy Tab S9 Ultra 256GB,8999.00,平板电脑,数码配件
Huawei MatePad Pro 13.2英寸 256GB,4999.00,平板电脑,数码配件
Xiaomi Pad 6 Pro 256GB,3599.00,平板电脑,数码配件
Apple MacBook Pro 14英寸 M3 Pro,15999.00,笔记本电脑,电脑办公
Dell XPS 13 Plus 13.4英寸,9999.00,笔记本电脑,电脑办公
HP Spectre x360 14英寸,8999.00,笔记本电脑,电脑办公
Lenovo ThinkPad X1 Carbon Gen 12,12999.00,笔记本电脑,电脑办公
Asus ROG Zephyrus G14,9999.00,游戏本,电脑办公
Razer Blade 14,13999.00,游戏本,电脑办公
Apple Watch Series 9 45mm,3199.00,智能手表,数码配件
Samsung Galaxy Watch 6 Classic,2999.00,智能手表,数码配件
Huawei Watch GT 4 46mm,1599.00,智能手表,数码配件
Xiaomi Watch S3 46mm,1299.00,智能手表,数码配件
AirPods Pro 2nd Generation,1899.00,耳机,数码配件
Sony WH-1000XM5,2999.00,耳机,数码配件
Bose QuietComfort Ultra Headphones,3299.00,耳机,数码配件
Sennheiser Momentum 4 Wireless,2699.00,耳机,数码配件
JBL Tour One M2,2299.00,耳机,数码配件
Sony PlayStation 5 光驱版,4299.00,游戏机,数码配件
Microsoft Xbox Series X,4199.00,游戏机,数码配件
Nintendo Switch OLED,2599.00,游戏机,数码配件
DJI Mini 4 Pro,4788.00,无人机,数码配件
GoPro HERO12 Black,3498.00,运动相机,数码配件
Canon EOS R5 全画幅微单,25999.00,数码相机,数码配件
Nikon Z7 II 全画幅微单,19999.00,数码相机,数码配件
Sony A7R V 全画幅微单,25999.00,数码相机,数码配件
Panasonic Lumix S5 II,11998.00,数码相机,数码配件
DJI Osmo Action 4,2999.00,运动相机,数码配件
iRobot Roomba j7+ 扫地机器人,5999.00,扫地机器人,智能家电
科沃斯 X2 Pro 扫地机器人,4999.00,扫地机器人,智能家电
石头 G20 扫地机器人,4599.00,扫地机器人,智能家电
云鲸 J4 扫地机器人,4299.00,扫地机器人,智能家电
追觅 S20 Pro 扫地机器人,3999.00,扫地机器人,智能家电
MUJI 无印良品 棉麻四件套,899.00,床上用品,家居家纺
IKEA 宜家 马尔姆 床架,1999.00,床架,家具
顾家家居 真皮沙发三人位,6999.00,沙发,家具
芝华仕 头等舱 功能沙发,5999.00,沙发,家具
全友家居 餐桌椅组合,2999.00,餐桌,家具
曲美家居 实木茶几,1999.00,茶几,家具
欧派 整体厨房橱柜,19999.00,橱柜,厨房用品
方太 抽油烟机 CXW-258-JCD10C,4999.00,抽油烟机,厨房用品
老板 燃气灶 JZT-57B2,2999.00,燃气灶,厨房用品
美的 洗碗机 WQP12-W5680H-CN,4999.00,洗碗机,厨房用品
海尔 冰箱 BCD-600WGHFD12STU1,7999.00,冰箱,大家电
西门子 冰箱 KA92NV02TI,6999.00,冰箱,大家电
格力 空调 KFR-35GW/(35549)FNhAa-B1,4999.00,空调,大家电
美的 空调 KFR-35GW/N8MKA1,3999.00,空调,大家电
松下 洗衣机 XQG100-NAY8A3,5999.00,洗衣机,大家电
小天鹅 洗衣机 TG100V86WMDY5,3999.00,洗衣机,大家电
戴森 V15 Detect 无绳吸尘器,5490.00,吸尘器,清洁电器
小米 吸尘器 K10 Pro,1999.00,吸尘器,清洁电器
苏泊尔 电饭煲 CFXB40HC803-120,1299.00,电饭煲,厨房用品
九阳 破壁机 L18-Y928S,999.00,破壁机,厨房用品
飞利浦 空气净化器 AC0820/00,1999.00,空气净化器,生活电器
小米 空气净化器 Pro H,999.00,空气净化器,生活电器
奥克斯 电暖器 NSBE-200B,299.00,电暖器,生活电器
先锋 电暖器 DYT-Z9,399.00,电暖器,生活电器
TCL 电视 65Q10H 65英寸,6999.00,电视,大家电
Sony 电视 KD-65X95J 65英寸,8999.00,电视,大家电
Samsung 电视 QA65QN90C 65英寸,9999.00,电视,大家电
海信 电视 65U8H 65英寸,7999.00,电视,大家电
创维 电视 65A33 65英寸,4999.00,电视,大家电
公牛 插排 6位总控,59.90,插排,家居日用
欧普照明 LED吸顶灯,399.00,吸顶灯,家居日用
雷士照明 LED筒灯,29.90,筒灯,家居日用
立邦 墙面漆 净味120,399.00,墙面漆,装修建材
多乐士 墙面漆 竹炭清新居,499.00,墙面漆,装修建材
潜水艇 地漏 防臭地漏,99.00,地漏,装修建材
活着,59.00,小说,图书
百年孤独,69.00,小说,图书
三体全集,99.00,科幻,图书
平凡的世界,89.00,小说,图书
追风筝的人,49.00,小说,图书
解忧杂货店,39.00,小说,图书
围城,35.00,小说,图书
呐喊,28.00,小说,图书
彷徨,28.00,小说,图书
朝花夕拾,25.00,散文,图书
狂人日记,22.00,小说,图书
骆驼祥子,28.00,小说,图书
茶馆,22.00,话剧,图书
雷雨,22.00,话剧,图书
边城,25.00,小说,图书
围城,35.00,小说,图书
撒哈拉的故事,32.00,散文,图书
目送,35.00,散文,图书
亲爱的安德烈,38.00,散文,图书
孩子你慢慢来,32.00,散文,图书
人类简史,68.00,历史,图书
未来简史,68.00,历史,图书
今日简史,68.00,历史,图书
时间简史,45.00,科普,图书
物种起源,58.00,科普,图书
经济学原理,99.00,经济,图书
资本论,128.00,经济,图书
国富论,88.00,经济,图书
孙子兵法,32.00,军事,图书
三十六计,28.00,军事,图书
资治通鉴,298.00,历史,图书
史记,198.00,历史,图书
论语,28.00,哲学,图书
孟子,28.00,哲学,图书
庄子,32.00,哲学,图书
老子,22.00,哲学,图书
金刚经,25.00,宗教,图书
心经,18.00,宗教,图书
唐诗三百首,32.00,诗歌,图书
宋词三百首,32.00,诗歌,图书
元曲三百首,32.00,诗歌,图书
古文观止,45.00,散文,图书
楚辞,38.00,诗歌,图书
乐府诗集,58.00,诗歌,图书
四大名著全套,198.00,小说,图书
SK-II 神仙水 230ml,1540.00,爽肤水,美容护肤
La Mer 海蓝之谜精华面霜 60ml,2990.00,面霜,美容护肤
Estee Lauder 雅诗兰黛小棕瓶精华 50ml,900.00,精华,美容护肤
Lancome 兰蔻小黑瓶精华 50ml,895.00,精华,美容护肤
Shiseido 资生堂红腰子精华 50ml,860.00,精华,美容护肤
HR 赫莲娜绿宝瓶精华 50ml,1580.00,精华,美容护肤
Clarins 娇韵诗双萃精华 50ml,1380.00,精华,美容护肤
Chanel 香奈儿山茶花保湿精华 30ml,1060.00,精华,美容护肤
Dior 迪奥花秘瑰萃精华露 30ml,1500.00,精华,美容护肤
Guerlain 娇兰帝皇蜂姿修护精华 50ml,1580.00,精华,美容护肤
YSL 圣罗兰明彩粉底液 30ml,630.00,粉底液,彩妆/香水/美妆工具
Armani 阿玛尼权利粉底液 30ml,630.00,粉底液,彩妆/香水/美妆工具
Givenchy 纪梵希明星四宫格散粉,590.00,散粉,彩妆/香水/美妆工具
NARS 大白饼 蜜粉饼,400.00,蜜粉饼,彩妆/香水/美妆工具
Tom Ford 汤姆福特幻魅四色眼影盘,890.00,眼影,彩妆/香水/美妆工具
Urban Decay 衰败城市 Naked Heat 眼影盘,420.00,眼影,彩妆/香水/美妆工具
MAC 魅可子弹头口红,190.00,口红,彩妆/香水/美妆工具
Dior 迪奥999口红,380.00,口红,彩妆/香水/美妆工具
Chanel 香奈儿58号口红,380.00,口红,彩妆/香水/美妆工具
YSL 圣罗兰小金条口红,390.00,口红,彩妆/香水/美妆工具
娇兰 金钻修颜粉饼,720.00,粉饼,彩妆/香水/美妆工具
植村秀 砍刀眉笔,200.00,眉笔,彩妆/香水/美妆工具
Benefit 贝玲妃反恐精英毛孔隐形膏,330.00,妆前乳,彩妆/香水/美妆工具
