商品名称,商品价格,商品类别,商品类目
CPB 肌肤之钥隔离霜,600.00,隔离霜,彩妆/香水/美妆工具
La Prairie 莱珀妮鱼子酱眼霜 20ml,2550.00,眼霜,美容护肤
Estee Lauder 雅诗兰黛小棕瓶眼霜 15ml,530.00,眼霜,美容护肤
Lancome 兰蔻发光眼霜 15ml,530.00,眼霜,美容护肤
SK-II 大眼眼霜 15g,620.00,眼霜,美容护肤
Shiseido 资生堂悦薇眼霜 15ml,580.00,眼霜,美容护肤
Fresh 馥蕾诗玫瑰面膜 100ml,520.00,面膜,美容护肤
SK-II 前男友面膜 10片,740.00,面膜,美容护肤
Dr. Jart+ 蒂佳婷蓝药丸面膜 10片,230.00,面膜,美容护肤
AHC 玻尿酸面膜 5片,120.00,面膜,美容护肤
御泥坊 泥浆面膜 260g,129.00,面膜,美容护肤
Olay 玉兰油小白瓶精华 30ml,299.00,精华,美容护肤
The Ordinary 烟酰胺精华 30ml,68.00,精华,美容护肤
Cerave 适乐肤C乳 236ml,128.00,乳液,美容护肤
Cetaphil 丝塔芙洗面奶 591ml,128.00,洗面奶,美容护肤
Neutrogena 露得清A醇晚霜 40g,139.00,晚霜,美容护肤
La Roche-Posay 理肤泉B5修复霜 100ml,128.00,面霜,美容护肤
Nike Air Zoom Pegasus 41 跑步鞋,899.00,跑步鞋,运动鞋包
Adidas Ultraboost 23 跑步鞋,1099.00,跑步鞋,运动鞋包
Asics Gel-Kayano 30 跑步鞋,1390.00,跑步鞋,运动鞋包
New Balance 1080v13 跑步鞋,1299.00,跑步鞋,运动鞋包
Saucony Triumph 21 跑步鞋,1299.00,跑步鞋,运动鞋包
Brooks Ghost 15 跑步鞋,1299.00,跑步鞋,运动鞋包
Nike React Infinity Run 4 跑步鞋,1099.00,跑步鞋,运动鞋包
Adidas Solarboost 5 跑步鞋,1199.00,跑步鞋,运动鞋包
Under Armour HOVR Sonic 6 跑步鞋,899.00,跑步鞋,运动鞋包
Puma Deviate Nitro 2 跑步鞋,999.00,跑步鞋,运动鞋包
Columbia 哥伦比亚 冲锋衣,1999.00,冲锋衣,户外装备
The North Face 北面 冲锋衣,2498.00,冲锋衣,户外装备
Arc'teryx 始祖鸟 Beta AR 冲锋衣,8200.00,冲锋衣,户外装备
Patagonia 巴塔哥尼亚 冲锋衣,4999.00,冲锋衣,户外装备
Mammut 猛犸象 冲锋衣,3999.00,冲锋衣,户外装备
Jack Wolfskin 狼爪 冲锋衣,1599.00,冲锋衣,户外装备
探路者 冲锋衣,999.00,冲锋衣,户外装备
迪卡侬 冲锋衣,499.00,冲锋衣,户外装备
骆驼 冲锋衣,599.00,冲锋衣,户外装备
伯希和 冲锋衣,699.00,冲锋衣,户外装备
Nike Pro 运动紧身裤,499.00,紧身裤,运动服饰
Adidas Alphaskin 运动紧身裤,399.00,紧身裤,运动服饰
Under Armour HeatGear 运动紧身裤,449.00,紧身裤,运动服饰
Lululemon Align 瑜伽裤,850.00,瑜伽裤,运动服饰
Nike Dri-FIT 运动T恤,299.00,运动T恤,运动服饰
Adidas Climalite 运动T恤,249.00,运动T恤,运动服饰
Under Armour Tech 运动T恤,299.00,运动T恤,运动服饰
李宁 运动T恤,199.00,运动T恤,运动服饰
安踏 运动T恤,159.00,运动T恤,运动服饰
特步 运动T恤,129.00,运动T恤,运动服饰
瑜伽垫 183cm*61cm,199.00,瑜伽垫,健身器材
哑铃套装 2.5kg*2,129.00,哑铃,健身器材
跑步机 家用款,2999.00,跑步机,健身器材
椭圆机 家用款,3999.00,椭圆机,健身器材
动感单车 家用款,1999.00,动感单车,健身器材
划船机 家用款,4999.00,划船机,健身器材
仰卧板 家用款,399.00,仰卧板,健身器材
弹力带 阻力带,59.00,弹力带,健身器材
跳绳 计数跳绳,39.90,跳绳,健身器材
Apple iPhone 16 Pro Max 256GB,9999.00,手机,手机通讯
Samsung Galaxy S24 Ultra 512GB,8999.00,手机,手机通讯
Huawei Mate 70 Pro+ 256GB,8999.00,手机,手机通讯
Xiaomi 14 Ultra 512GB,6499.00,手机,手机通讯
OPPO Find X7 Ultra 512GB,5999.00,手机,手机通讯
vivo X100 Pro+ 512GB,6499.00,手机,手机通讯
Apple iPad Pro 12.9英寸 256GB,7999.00,平板电脑,数码配件
Samsung Galaxy Tab S9 Ultra 256GB,8999.00,平板电脑,数码配件
Huawei MatePad Pro 13.2英寸 256GB,4999.00,平板电脑,数码配件
Xiaomi Pad 6 Pro 256GB,3599.00,平板电脑,数码配件
Apple MacBook Pro 14英寸 M3 Pro,15999.00,笔记本电脑,电脑办公
Dell XPS 13 Plus 13.4英寸,9999.00,笔记本电脑,电脑办公
HP Spectre x360 14英寸,8999.00,笔记本电脑,电脑办公
Lenovo ThinkPad X1 Carbon Gen 12,12999.00,笔记本电脑,电脑办公
Asus ROG Zephyrus G14,9999.00,游戏本,电脑办公
Razer Blade 14,13999.00,游戏本,电脑办公
Apple Watch Series 9 45mm,3199.00,智能手表,数码配件
Samsung Galaxy Watch 6 Classic,2999.00,智能手表,数码配件
Huawei Watch GT 4 46mm,1599.00,智能手表,数码配件
Xiaomi Watch S3 46mm,1299.00,智能手表,数码配件
AirPods Pro 2nd Generation,1899.00,耳机,数码配件
Sony WH-1000XM5,2999.00,耳机,数码配件
Bose QuietComfort Ultra Headphones,3299.00,耳机,数码配件
Sennheiser Momentum 4 Wireless,2699.00,耳机,数码配件
JBL Tour One M2,2299.00,耳机,数码配件
Sony PlayStation 5 光驱版,4299.00,游戏机,数码配件
Microsoft Xbox Series X,4199.00,游戏机,数码配件
Nintendo Switch OLED,2599.00,游戏机,数码配件
DJI Mini 4 Pro,4788.00,无人机,数码配件
GoPro HERO12 Black,3498.00,运动相机,数码配件
Canon EOS R5 全画幅微单,25999.00,数码相机,数码配件
Nikon Z7 II 全画幅微单,19999.00,数码相机,数码配件
Sony A7R V 全画幅微单,25999.00,数码相机,数码配件
Panasonic Lumix S5 II,11998.00,数码相机,数码配件
DJI Osmo Action 4,2999.00,运动相机,数码配件
iRobot Roomba j7+ 扫地机器人,5999.00,扫地机器人,智能家电
科沃斯 X2 Pro 扫地机器人,4999.00,扫地机器人,智能家电
石头 G20 扫地机器人,4599.00,扫地机器人,智能家电
云鲸 J4 扫地机器人,4299.00,扫地机器人,智能家电
追觅 S20 Pro 扫地机器人,3999.00,扫地机器人,智能家电
MUJI 无印良品 棉麻四件套,899.00,床上用品,家居家纺
IKEA 宜家 马尔姆 床架,1999.00,床架,家具
顾家家居 真皮沙发三人位,6999.00,沙发,家具
芝华仕 头等舱 功能沙发,5999.00,沙发,家具
全友家居 餐桌椅组合,2999.00,餐桌,家具
曲美家居 实木茶几,1999.00,茶几,家具
欧派 整体厨房橱柜,19999.00,橱柜,厨房用品
方太 抽油烟机 CXW-258-JCD10C,4999.00,抽油烟机,厨房用品
老板 燃气灶 JZT-57B2,2999.00,燃气灶,厨房用品
美的 洗碗机 WQP12-W5680H-CN,4999.00,洗碗机,厨房用品
海尔 冰箱 BCD-600WGHFD12STU1,7999.00,冰箱,大家电
西门子 冰箱 KA92NV02TI,6999.00,冰箱,大家电
格力 空调 KFR-35GW/(35549)FNhAa-B1,4999.00,空调,大家电
美的 空调 KFR-35GW/N8MKA1,3999.00,空调,大家电
松下 洗衣机 XQG100-NAY8A3,5999.00,洗衣机,大家电
小天鹅 洗衣机 TG100V86WMDY5,3999.00,洗衣机,大家电
戴森 V15 Detect 无绳吸尘器,5490.00,吸尘器,清洁电器
小米 吸尘器 K10 Pro,1999.00,吸尘器,清洁电器
苏泊尔 电饭煲 CFXB40HC803-120,1299.00,电饭煲,厨房用品
九阳 破壁机 L18-Y928S,999.00,破壁机,厨房用品
飞利浦 空气净化器 AC0820/00,1999.00,空气净化器,生活电器
小米 空气净化器 Pro H,999.00,空气净化器,生活电器
奥克斯 电暖器 NSBE-200B,299.00,电暖器,生活电器
先锋 电暖器 DYT-Z9,399.00,电暖器,生活电器
TCL 电视 65Q10H 65英寸,6999.00,电视,大家电
Sony 电视 KD-65X95J 65英寸,8999.00,电视,大家电
Samsung 电视 QA65QN90C 65英寸,9999.00,电视,大家电
海信 电视 65U8H 65英寸,7999.00,电视,大家电
创维 电视 65A33 65英寸,4999.00,电视,大家电
公牛 插排 6位总控,59.90,插排,家居日用
欧普照明 LED吸顶灯,399.00,吸顶灯,家居日用
雷士照明 LED筒灯,29.90,筒灯,家居日用
立邦 墙面漆 净味120,399.00,墙面漆,装修建材
多乐士 墙面漆 竹炭清新居,499.00,墙面漆,装修建材
潜水艇 地漏 防臭地漏,99.00,地漏,装修建材
活着,59.00,小说,图书
百年孤独,69.00,小说,图书
三体全集,99.00,科幻,图书
平凡的世界,89.00,小说,图书
追风筝的人,49.00,小说,图书
解忧杂货店,39.00,小说,图书
围城,35.00,小说,图书
呐喊,28.00,小说,图书
彷徨,28.00,小说,图书
朝花夕拾,25.00,散文,图书
狂人日记,22.00,小说,图书
骆驼祥子,28.00,小说,图书
茶馆,22.00,话剧,图书
雷雨,22.00,话剧,图书
边城,25.00,小说,图书
围城,35.00,小说,图书
撒哈拉的故事,32.00,散文,图书
目送,35.00,散文,图书
亲爱的安德烈,38.00,散文,图书
孩子你慢慢来,32.00,散文,图书
人类简史,68.00,历史,图书
未来简史,68.00,历史,图书
今日简史,68.00,历史,图书
时间简史,45.00,科普,图书
物种起源,58.00,科普,图书
经济学原理,99.00,经济,图书
资本论,128.00,经济,图书
国富论,88.00,经济,图书
孙子兵法,32.00,军事,图书
三十六计,28.00,军事,图书
资治通鉴,298.00,历史,图书
史记,198.00,历史,图书
论语,28.00,哲学,图书
孟子,28.00,哲学,图书
庄子,32.00,哲学,图书
老子,22.00,哲学,图书
金刚经,25.00,宗教,图书
心经,18.00,宗教,图书
唐诗三百首,32.00,诗歌,图书
宋词三百首,32.00,诗歌,图书
元曲三百首,32.00,诗歌,图书
古文观止,45.00,散文,图书
楚辞,38.00,诗歌,图书
乐府诗集,58.00,诗歌,图书
四大名著全套,198.00,小说,图书
SK-II 神仙水 230ml,1540.00,爽肤水,美容护肤
La Mer 海蓝之谜精华面霜 60ml,2990.00,面霜,美容护肤
Estee Lauder 雅诗兰黛小棕瓶精华 50ml,900.00,精华,美容护肤
Lancome 兰蔻小黑瓶精华 50ml,895.00,精华,美容护肤
Shiseido 资生堂红腰子精华 50ml,860.00,精华,美容护肤
HR 赫莲娜绿宝瓶精华 50ml,1580.00,精华,美容护肤
Clarins 娇韵诗双萃精华 50ml,1380.00,精华,美容护肤
Chanel 香奈儿山茶花保湿精华 30ml,1060.00,精华,美容护肤
Dior 迪奥花秘瑰萃精华露 30ml,1500.00,精华,美容护肤
Guerlain 娇兰帝皇蜂姿修护精华 50ml,1580.00,精华,美容护肤
YSL 圣罗兰明彩粉底液 30ml,630.00,粉底液,彩妆/香水/美妆工具
Armani 阿玛尼权利粉底液 30ml,630.00,粉底液,彩妆/香水/美妆工具
Givenchy 纪梵希明星四宫格散粉,590.00,散粉,彩妆/香水/美妆工具
NARS 大白饼 蜜粉饼,400.00,蜜粉饼,彩妆/香水/美妆工具
Tom Ford 汤姆福特幻魅四色眼影盘,890.00,眼影,彩妆/香水/美妆工具
Urban Decay 衰败城市 Naked Heat 眼影盘,420.00,眼影,彩妆/香水/美妆工具
MAC 魅可子弹头口红,190.00,口红,彩妆/香水/美妆工具
Dior 迪奥999口红,380.00,口红,彩妆/香水/美妆工具
Chanel 香奈儿58号口红,380.00,口红,彩妆/香水/美妆工具
YSL 圣罗兰小金条口红,390.00,口红,彩妆/香水/美妆工具
娇兰 金钻修颜粉饼,720.00,粉饼,彩妆/香水/美妆工具
植村秀 砍刀眉笔,200.00,眉笔,彩妆/香水/美妆工具
Benefit 贝玲妃反恐精英毛孔隐形膏,330.00,妆前乳,彩妆/香水/美妆工具
CPB 肌肤之钥隔离霜,600.00,隔离霜,彩妆/香水/美妆工具
La Prairie 莱珀妮鱼子酱眼霜 20ml,2550.00,眼霜,美容护肤
Estee Lauder 雅诗兰黛小棕瓶眼霜 15ml,530.00,眼霜,美容护肤
Lancome 兰蔻发光眼霜 15ml,530.00,眼霜,美容护肤
SK-II 大眼眼霜 15g,620.00,眼霜,美容护肤
Shiseido 资生堂悦薇眼霜 15ml,580.00,眼霜,美容护肤
Fresh 馥蕾诗玫瑰面膜 100ml,520.00,面膜,美容护肤
SK-II 前男友面膜 10片,740.00,面膜,美容护肤
Dr. Jart+ 蒂佳婷蓝药丸面膜 10片,230.00,面膜,美容护肤
AHC 玻尿酸面膜 5片,120.00,面膜,美容护肤
御泥坊 泥浆面膜 260g,129.00,面膜,美容护肤
Olay 玉兰油小白瓶精华 30ml,299.00,精华,美容护肤
The Ordinary 烟酰胺精华 30ml,68.00,精华,美容护肤
Cerave 适乐肤C乳 236ml,128.00,乳液,美容护肤
Cetaphil 丝塔芙洗面奶 591ml,128.00,洗面奶,美容护肤
Neutrogena 露得清A醇晚霜 40g,139.00,晚霜,美容护肤
La Roche-Posay 理肤泉B5修复霜 100ml,128.00,面霜,美容护肤
Nike Air Zoom Pegasus 41 跑步鞋,899.00,跑步鞋,运动鞋包
Adidas Ultraboost 23 跑步鞋,1099.00,跑步鞋,运动鞋包
Asics Gel-Kayano 30 跑步鞋,1390.00,跑步鞋,运动鞋包
New Balance 1080v13 跑步鞋,1299.00,跑步鞋,运动鞋包
Saucony Triumph 21 跑步鞋,1299.00,跑步鞋,运动鞋包
Brooks Ghost 15 跑步鞋,1299.00,跑步鞋,运动鞋包
Nike React Infinity Run 4 跑步鞋,1099.00,跑步鞋,运动鞋包
Adidas Solarboost 5 跑步鞋,1199.00,跑步鞋,运动鞋包
Under Armour HOVR Sonic 6 跑步鞋,899.00,跑步鞋,运动鞋包
Puma Deviate Nitro 2 跑步鞋,999.00,跑步鞋,运动鞋包
Columbia 哥伦比亚 冲锋衣,1999.00,冲锋衣,户外装备
The North Face 北面 冲锋衣,2498.00,冲锋衣,户外装备
Arc'teryx 始祖鸟 Beta AR 冲锋衣,8200.00,冲锋衣,户外装备
Patagonia 巴塔哥尼亚 冲锋衣,4999.00,冲锋衣,户外装备
Mammut 猛犸象 冲锋衣,3999.00,冲锋衣,户外装备
Jack Wolfskin 狼爪 冲锋衣,1599.00,冲锋衣,户外装备
探路者 冲锋衣,999.00,冲锋衣,户外装备
迪卡侬 冲锋衣,499.00,冲锋衣,户外装备
骆驼 冲锋衣,599.00,冲锋衣,户外装备
伯希和 冲锋衣,699.00,冲锋衣,户外装备
Nike Pro 运动紧身裤,499.00,紧身裤,运动服饰
Adidas Alphaskin 运动紧身裤,399.00,紧身裤,运动服饰
Under Armour HeatGear 运动紧身裤,449.00,紧身裤,运动服饰
Lululemon Align 瑜伽裤,850.00,瑜伽裤,运动服饰
Nike Dri-FIT 运动T恤,299.00,运动T恤,运动服饰
Adidas Climalite 运动T恤,249.00,运动T恤,运动服饰
Under Armour Tech 运动T恤,299.00,运动T恤,运动服饰
李宁 运动T恤,199.00,运动T恤,运动服饰
安踏 运动T恤,159.00,运动T恤,运动服饰
特步 运动T恤,129.00,运动T恤,运动服饰
瑜伽垫 183cm*61cm,199.00,瑜伽垫,健身器材
哑铃套装 2.5kg*2,129.00,哑铃,健身器材
跑步机 家用款,2999.00,跑步机,健身器材
椭圆机 家用款,3999.00,椭圆机,健身器材
动感单车 家用款,1999.00,动感单车,健身器材
划船机 家用款,4999.00,划船机,健身器材
仰卧板 家用款,399.00,仰卧板,健身器材
弹力带 阻力带,59.00,弹力带,健身器材
跳绳 计数跳绳,39.90,跳绳,健身器材
